date_time	Request_count
1998-07-11 00:37:00	100256.555
1998-07-11 00:38:00	99286.6
1998-07-11 00:39:00	98538.97
1998-07-11 00:40:00	97915.23
1998-07-11 00:41:00	96995.23
1998-07-11 00:42:00	96393.24
1998-07-11 00:43:00	98887.43
1998-07-11 00:44:00	97970.375
1998-07-11 00:45:00	97294.45
1998-07-11 00:46:00	101087.6
1998-07-11 00:47:00	100112.2
1998-07-11 00:48:00	99301.23
1998-07-11 00:49:00	101249.445
1998-07-11 00:50:00	100224.36
1998-07-11 00:51:00	99424.15
1998-07-11 00:52:00	100180.15
1998-07-11 00:53:00	99213.02
1998-07-11 00:54:00	98452.84
1998-07-11 00:55:00	96923.73
1998-07-11 00:56:00	96082.59
1998-07-11 00:57:00	95530.18
1998-07-11 00:58:00	98066.5
1998-07-11 00:59:00	97244.73
1998-07-11 01:00:00	96605.195
1998-07-11 01:01:00	97125.61
1998-07-11 01:02:00	96285.4
1998-07-11 01:03:00	95668.82
1998-07-11 01:04:00	105515.79
1998-07-11 01:05:00	104397.95
1998-07-11 01:06:00	103444.99
1998-07-11 01:07:00	110587.83
1998-07-11 01:08:00	109127.12
1998-07-11 01:09:00	107837.84
1998-07-11 01:10:00	104360.09
1998-07-11 01:11:00	103046.49
1998-07-11 01:12:00	102130.35
1998-07-11 01:13:00	99650.84
1998-07-11 01:14:00	98566.086
1998-07-11 01:15:00	97979.23
1998-07-11 01:16:00	99317.79
1998-07-11 01:17:00	98474.125
1998-07-11 01:18:00	97820.48
1998-07-11 01:19:00	95289.164
1998-07-11 01:20:00	94541.23
1998-07-11 01:21:00	94069.42
1998-07-11 01:22:00	99902.984
1998-07-11 01:23:00	99035.8
1998-07-11 01:24:00	98276.98
1998-07-11 01:25:00	98942.58
1998-07-11 01:26:00	98021.78
1998-07-11 01:27:00	97280.055
1998-07-11 01:28:00	101246.99
1998-07-11 01:29:00	100348.07
1998-07-11 01:30:00	99468.69
1998-07-11 01:31:00	102208.4
1998-07-11 01:32:00	101126.71
1998-07-11 01:33:00	100291.18
1998-07-11 01:34:00	100472.12
1998-07-11 01:35:00	99505.234
1998-07-11 01:36:00	98712.14
1998-07-11 01:37:00	100182.06
1998-07-11 01:38:00	99236.02
1998-07-11 01:39:00	98479.63
1998-07-11 01:40:00	97845.96
1998-07-11 01:41:00	96943.664
1998-07-11 01:42:00	96346.805
1998-07-11 01:43:00	98897.66
1998-07-11 01:44:00	97983.51
1998-07-11 01:45:00	97303.516
1998-07-11 01:46:00	101028.83
1998-07-11 01:47:00	100069.44
1998-07-11 01:48:00	99253.69
1998-07-11 01:49:00	101078.52
1998-07-11 01:50:00	100099.09
1998-07-11 01:51:00	99297.22
1998-07-11 01:52:00	100132.32
1998-07-11 01:53:00	99160.08
1998-07-11 01:54:00	98411.9
1998-07-11 01:55:00	96856.0
1998-07-11 01:56:00	96034.57
1998-07-11 01:57:00	95477.32
1998-07-11 01:58:00	98113.41
1998-07-11 01:59:00	97270.82
1998-07-11 02:00:00	96632.81
1998-07-11 02:01:00	97079.28
1998-07-11 02:02:00	96251.94
1998-07-11 02:03:00	95630.62
1998-07-11 02:04:00	105453.49
1998-07-11 02:05:00	104349.78
1998-07-11 02:06:00	103401.3
1998-07-11 02:07:00	110562.445
1998-07-11 02:08:00	109115.95
1998-07-11 02:09:00	107826.16
1998-07-11 02:10:00	104329.484
1998-07-11 02:11:00	103025.04
1998-07-11 02:12:00	102114.22
1998-07-11 02:13:00	99515.62
1998-07-11 02:14:00	98465.305
1998-07-11 02:15:00	97876.875
1998-07-11 02:16:00	99258.35
1998-07-11 02:17:00	98431.05
1998-07-11 02:18:00	97780.516
1998-07-11 02:19:00	95275.59
1998-07-11 02:20:00	94532.45
1998-07-11 02:21:00	94054.695
1998-07-11 02:22:00	99714.88
1998-07-11 02:23:00	98907.664
1998-07-11 02:24:00	98133.6
1998-07-11 02:25:00	98819.266
1998-07-11 02:26:00	97922.805
1998-07-11 02:27:00	97187.94
1998-07-11 02:28:00	101601.86
1998-07-11 02:29:00	100604.34
1998-07-11 02:30:00	99718.18
1998-07-11 02:31:00	102108.06
1998-07-11 02:32:00	101074.36
1998-07-11 02:33:00	100219.53
1998-07-11 02:34:00	100539.68
